gpkg_standardized,gpkg,gpkg_n_features,gpkg_xmin,gpkg_ymin,gpkg_xmax,gpkg_ymax
gpkg-standardized/EA_2000-06-19.gpkg,gpkg/EA_2000-06-19.gpkg,329,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-06-26.gpkg,gpkg/EA_2000-06-26.gpkg,326,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-07-03.gpkg,gpkg/EA_2000-07-03.gpkg,324,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-07-10.gpkg,gpkg/EA_2000-07-10.gpkg,312,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-07-17.gpkg,gpkg/EA_2000-07-17.gpkg,334,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-07-24.gpkg,gpkg/EA_2000-07-24.gpkg,332,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-07-31.gpkg,gpkg/EA_2000-07-31.gpkg,288,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-08-07.gpkg,gpkg/EA_2000-08-07.gpkg,261,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-08-14.gpkg,gpkg/EA_2000-08-14.gpkg,238,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-08-21.gpkg,gpkg/EA_2000-08-21.gpkg,235,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-08-28.gpkg,gpkg/EA_2000-08-28.gpkg,227,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-09-04.gpkg,gpkg/EA_2000-09-04.gpkg,220,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-09-11.gpkg,gpkg/EA_2000-09-11.gpkg,180,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-09-18.gpkg,gpkg/EA_2000-09-18.gpkg,184,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-09-25.gpkg,gpkg/EA_2000-09-25.gpkg,166,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-10-02.gpkg,gpkg/EA_2000-10-02.gpkg,256,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-10-09.gpkg,gpkg/EA_2000-10-09.gpkg,261,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-10-16.gpkg,gpkg/EA_2000-10-16.gpkg,310,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-10-23.gpkg,gpkg/EA_2000-10-23.gpkg,344,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-10-30.gpkg,gpkg/EA_2000-10-30.gpkg,394,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-11-06.gpkg,gpkg/EA_2000-11-06.gpkg,358,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-11-13.gpkg,gpkg/EA_2000-11-13.gpkg,379,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-11-20.gpkg,gpkg/EA_2000-11-20.gpkg,334,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-11-27.gpkg,gpkg/EA_2000-11-27.gpkg,340,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-12-01.gpkg,gpkg/EA_2000-12-01.gpkg,330,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2001-01-01.gpkg,gpkg/EA_2001-01-01.gpkg,312,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-02-01.gpkg,gpkg/EA_2001-02-01.gpkg,280,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-03-01.gpkg,gpkg/EA_2001-03-01.gpkg,299,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-04-01.gpkg,gpkg/EA_2001-04-01.gpkg,295,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-05-01.gpkg,gpkg/EA_2001-05-01.gpkg,295,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-05-15.gpkg,gpkg/EA_2001-05-15.gpkg,304,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-06-01.gpkg,gpkg/EA_2001-06-01.gpkg,306,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-06-18.gpkg,gpkg/EA_2001-06-18.gpkg,312,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-06-25.gpkg,gpkg/EA_2001-06-25.gpkg,316,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-07-02.gpkg,gpkg/EA_2001-07-02.gpkg,347,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-07-09.gpkg,gpkg/EA_2001-07-09.gpkg,365,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-07-16.gpkg,gpkg/EA_2001-07-16.gpkg,362,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-07-23.gpkg,gpkg/EA_2001-07-23.gpkg,345,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-07-30.gpkg,gpkg/EA_2001-07-30.gpkg,359,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-08-06.gpkg,gpkg/EA_2001-08-06.gpkg,299,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-08-13.gpkg,gpkg/EA_2001-08-13.gpkg,290,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-08-20.gpkg,gpkg/EA_2001-08-20.gpkg,272,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-08-27.gpkg,gpkg/EA_2001-08-27.gpkg,283,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-09-03.gpkg,gpkg/EA_2001-09-03.gpkg,264,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-09-10.gpkg,gpkg/EA_2001-09-10.gpkg,225,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-09-17.gpkg,gpkg/EA_2001-09-17.gpkg,255,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-09-24.gpkg,gpkg/EA_2001-09-24.gpkg,241,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-10-01.gpkg,gpkg/EA_2001-10-01.gpkg,233,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-10-08.gpkg,gpkg/EA_2001-10-08.gpkg,267,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-10-15.gpkg,gpkg/EA_2001-10-15.gpkg,267,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-10-22.gpkg,gpkg/EA_2001-10-22.gpkg,291,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-10-29.gpkg,gpkg/EA_2001-10-29.gpkg,285,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-11-05.gpkg,gpkg/EA_2001-11-05.gpkg,340,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-11-12.gpkg,gpkg/EA_2001-11-12.gpkg,332,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-11-19.gpkg,gpkg/EA_2001-11-19.gpkg,327,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-11-26.gpkg,gpkg/EA_2001-11-26.gpkg,321,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2001-12-01.gpkg,gpkg/EA_2001-12-01.gpkg,336,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-07-22.gpkg,gpkg/EA_2002-07-22.gpkg,375,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-07-29.gpkg,gpkg/EA_2002-07-29.gpkg,399,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-08-05.gpkg,gpkg/EA_2002-08-05.gpkg,350,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2002-08-12.gpkg,gpkg/EA_2002-08-12.gpkg,310,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
