gpkg,gpkg_n_features,gpkg_xmin,gpkg_ymin,gpkg_xmax,gpkg_ymax,gpkg_size
gpkg/EA_1971-09-08.gpkg,187,-294124.09375,2704501,1856542.625,5028246.5,1069056
gpkg/EA_1971-09-15.gpkg,191,-294124.09375,2704501,1856542.625,5028246.5,1069056
gpkg/EA_1971-09-22.gpkg,192,-294124.09375,2704501,1856542.625,5028246.5,1069056
gpkg/EA_1971-09-29.gpkg,197,-294124.09375,2704501,1856542.625,5028246.5,1081344
gpkg/EA_1971-10-06.gpkg,197,-294124.09375,2704501,1856542.625,5028246.5,1089536
gpkg/EA_1971-10-13.gpkg,175,-294124.09375,2704501,1856542.625,5028246.5,1044480
gpkg/EA_1971-10-20.gpkg,188,-294124.09375,2704501,1856542.625,5028246.5,1077248
gpkg/EA_1971-10-27.gpkg,168,-294124.09375,2704501,1856542.625,5028246.5,1044480
gpkg/EA_1972-06-21.gpkg,174,-294124.09375,2704501,1856542.625,5028246.5,1048576
gpkg/EA_1972-06-28.gpkg,172,-294124.09375,2704501,1856542.625,5028246.5,1044480
gpkg/EA_1972-07-06.gpkg,174,-294124.09375,2704501,1856542.625,5028246.5,1052672
gpkg/EA_1972-07-12.gpkg,184,-294124.09375,2704501,1856542.625,5028246.5,1052672
gpkg/EA_1972-07-19.gpkg,237,-294124.09375,2704501,1856542.625,5028246.5,1142784
gpkg/EA_1972-07-26.gpkg,219,-294124.09375,2704501,1856542.625,5028246.5,1126400
gpkg/EA_1972-08-02.gpkg,242,-294124.09375,2704501,1856542.625,5028246.5,1146880
gpkg/EA_1972-08-09.gpkg,247,-294124.09375,2704501,1856542.625,5028246.5,1138688
gpkg/EA_1972-08-23.gpkg,253,-294124.09375,2704501,1856542.625,5028246.5,1163264
gpkg/EA_1972-08-30.gpkg,218,-294124.09375,2704501,1856542.625,5028246.5,1118208
gpkg/EA_1972-09-06.gpkg,253,-294124.09375,2704501,1856542.625,5028246.5,1171456
gpkg/EA_1972-09-13.gpkg,259,-294124.09375,2704501,1856542.625,5028246.5,1163264
gpkg/EA_1972-09-20.gpkg,223,-294124.09375,2704501,1856542.625,5028246.5,1126400
gpkg/EA_1972-09-27.gpkg,244,-294124.09375,2704501,1856542.625,5028246.5,1138688
gpkg/EA_1972-10-04.gpkg,267,-294124.09375,2704501,1856542.625,5028246.5,1204224
gpkg/EA_1972-10-11.gpkg,243,-294124.09375,2704501,1856542.625,5028246.5,1146880
gpkg/EA_1972-10-18.gpkg,272,-294124.09375,2704501,1856542.625,5028246.5,1187840
